Dai so tuyen tinh,Giai tich ham mot bien,Giai tich ham nhieu bien,Chu nghia Mac - Le nin 1,Phap luat Dai cuong,Tin hoc Dai cuong,Toan roi rac,Ky nang giao tiep va thuyet trinh,Tieng Anh 1,Tieng Anh 2,Canh bao hoc vu
7,9.4,5.8,7,2.7,5.3,4.9,0,7,2.6,No
4.2,6.3,5.2,6.6,3.8,3.7,6.2,7.5,9.9,8.5,No
6.2,5.3,5.3,7.7,4.7,4.5,6.6,6.3,5.1,6.7,No
6.7,0,6,7.3,6.8,5.3,7.7,7.6,9,5.8,No
6.4,9.5,9.4,6.1,7,2.1,6,7,8.3,6.8,No
1.6,6.8,5.2,6.3,1.4,8,6.9,6.8,5.3,7.4,No
5.1,6.2,8.9,7.3,7,7.6,6.8,6,6.5,6.5,No
2,6.7,6,8.1,8.5,7.5,9.1,8.7,5.3,7.4,No
1.2,5.5,4.6,5.3,6,6.4,8.9,8.7,5,7,No
0,7.3,0,6,7,7.2,7.9,7.9,6.8,6.5,No
8.3,6.5,5.4,6,5.7,6.2,7.5,6.7,6.5,6.5,No
7.5,6.8,2.1,5,3.9,7.6,7.5,7.5,6,6.9,No
6,7.3,7.2,8.4,5.3,7.7,8.7,9.9,7,6.9,No
9.4,6.1,7.7,7.7,3.5,6.5,5.2,6.1,7.8,7.4,No
5.5,6.2,4,4.8,6.4,7,8.5,8.1,0,6.1,No
8.8,7.9,5.6,5.3,8.5,8,5.4,8,5,7.6,No
5.8,7.8,4.7,5.9,5.3,7.4,8.8,9,3.5,6.5,No
4.8,6.4,8.2,7.6,5.7,7.4,9.2,9.5,6.3,8,No
3.8,6.3,3.9,6,2,5,0,2.2,6,7.4,Yes
5.3,7,3.8,7,3.2,3.5,7.8,3.4,7,7.2,No
4.6,5.8,0,8,0,3.9,0,0,7.8,7.1,Yes
5.7,7,4.9,6,1.6,8.5,9.1,9.4,8.5,8.4,No
4.9,6.7,9.1,8.6,8.4,9.2,9.6,7.9,5.8,8,No
5.2,7,6.3,5.4,4.8,6.2,6.7,6.7,8.5,6.7,No
7.9,6.2,8,7.9,5.9,3.9,5.7,4.6,4.5,7.7,No
0,6.7,1.7,9,6.2,0.4,5.8,3.7,3.8,5.7,Yes
2.3,7.3,6.1,7.4,3.9,4.7,6.5,6,7.6,7.3,No
4.7,6.4,4.4,4.8,0.4,9.3,6,5.7,6.9,7.2,No
7.1,6.6,1.2,7,4.7,6.7,5.6,5.8,7.3,8.5,No
3.1,7.4,5.8,6.4,9.3,7.5,6.9,4.6,6,8.3,No
3.3,6.6,5.6,5.4,6.7,7.9,4,6.7,0,2,No
2.2,6.5,8.3,8.9,7.5,0.8,5.8,5.4,4.8,7.4,No
2.9,6.3,3.8,6,7.9,7.2,5.2,5,5.7,4.8,No
1.4,6.6,8,7.8,0.8,3.6,5.8,0,6.3,3.9,Yes
5.9,7,5.4,3.9,2.3,2.9,0,0,3.8,6.7,Yes
1.8,5.7,3.7,6.1,7.2,2,6.7,5.5,1.8,2.8,Yes
3.8,5.2,3,6,8,7.1,6.2,6.1,8.8,8.8,No
3.9,6.2,3.1,7,6.5,7.2,7.2,6.6,8.7,8.9,No
7.6,6.9,4,6.8,6.5,6.4,8.4,7.9,7.1,9.1,No
2.3,5.5,5.2,5.7,5.3,6.6,8,8.8,6.4,5.3,No
5.8,8.4,7,6.1,5.3,6.5,8.3,8.7,7.6,6.6,No
